Size,Used,Avail,Used%,date_time
1000G,767G,233G,77%,2025-02-04 05:05:59
1000G,784G,217G,77%,2025-02-21 01:46:57
1000G,784G,217G,78%,2025-02-21 02:47:00
1000G,784G,217G,79%,2025-02-21 05:47:07
1000G,788G,212G,79%,2025-02-24 02:20:03
1000G,788G,212G,79%,2025-02-24 03:20:04
1000G,788G,212G,79%,2025-02-24 04:20:03
1000G,788G,212G,79%,2025-02-24 05:20:03
1000G,788G,212G,79%,2025-02-24 06:20:01
1000G,788G,212G,79%,2025-02-24 07:20:02
1000G,788G,212G,79%,2025-02-24 08:20:01
1000G,788G,212G,79%,2025-02-24 09:20:01
1000G,788G,212G,79%,2025-02-24 10:20:01
1000G,788G,212G,79%,2025-02-24 11:20:02
1000G,788G,212G,79%,2025-02-24 12:20:02
1000G,789G,212G,79%,2025-02-24 13:20:03
1000G,789G,212G,79%,2025-02-24 14:20:03
1000G,789G,212G,79%,2025-02-24 15:20:03
1000G,789G,212G,79%,2025-02-24 16:20:03
1000G,789G,212G,79%,2025-02-24 17:20:02
1000G,789G,212G,79%,2025-02-24 18:20:03
1000G,789G,212G,79%,2025-02-24 19:20:03
1000G,790G,210G,80%,2025-02-25 02:20:02
1000G,790G,210G,80%,2025-02-25 03:20:01
1000G,790G,210G,80%,2025-02-25 04:20:01
1000G,790G,210G,80%,2025-02-25 05:20:01
1000G,790G,210G,80%,2025-02-25 06:20:03
1000G,790G,210G,80%,2025-02-25 07:20:03
1000G,790G,210G,80%,2025-02-25 08:20:03
1000G,790G,210G,80%,2025-02-25 09:20:03
1000G,790G,210G,80%,2025-02-25 10:20:02
1000G,791G,210G,80%,2025-02-25 11:20:01
1000G,791G,210G,80%,2025-02-25 12:20:01
1000G,791G,210G,80%,2025-02-25 13:20:01
1000G,791G,210G,80%,2025-02-25 14:20:01
1000G,791G,210G,80%,2025-02-25 15:20:01
1000G,791G,210G,80%,2025-02-25 16:20:01
1000G,791G,210G,80%,2025-02-25 17:20:01
1000G,791G,210G,80%,2025-02-25 18:20:02
1000G,791G,209G,80%,2025-02-25 19:20:01
1000G,792G,208G,80%,2025-02-26 02:20:03
1000G,792G,208G,80%,2025-02-26 03:20:04
1000G,792G,208G,80%,2025-02-26 04:20:03
1000G,792G,208G,80%,2025-02-26 05:20:03
1000G,792G,208G,80%,2025-02-26 06:20:03
1000G,792G,208G,80%,2025-02-26 07:20:03
1000G,792G,208G,80%,2025-02-26 08:20:01
1000G,793G,208G,80%,2025-02-26 09:20:01
1000G,793G,208G,80%,2025-02-26 10:20:01
1000G,793G,208G,80%,2025-02-26 11:20:02
1000G,793G,208G,80%,2025-02-26 12:20:04
1000G,793G,208G,80%,2025-02-26 13:20:03
1000G,793G,208G,80%,2025-02-26 14:20:04
1000G,793G,207G,80%,2025-02-26 15:20:04
1000G,793G,207G,80%,2025-02-26 16:20:04
1000G,793G,207G,80%,2025-02-26 17:20:03
1000G,793G,207G,80%,2025-02-26 18:20:04
1000G,793G,207G,80%,2025-02-26 19:20:03
1000G,794G,206G,80%,2025-02-27 02:20:01
1000G,795G,206G,80%,2025-02-27 03:20:02
1000G,795G,206G,80%,2025-02-27 04:20:03
1000G,795G,206G,80%,2025-02-27 05:20:04
1000G,795G,206G,80%,2025-02-27 06:20:03
1000G,795G,206G,80%,2025-02-27 07:20:02
1000G,795G,206G,80%,2025-02-27 08:20:04
1000G,795G,206G,80%,2025-02-27 09:20:04
1000G,795G,206G,80%,2025-02-27 10:20:04
1000G,795G,206G,80%,2025-02-27 11:20:03
1000G,795G,206G,80%,2025-02-27 12:20:04
1000G,795G,205G,80%,2025-02-27 13:20:04
1000G,795G,205G,80%,2025-02-27 14:20:02
1000G,795G,205G,80%,2025-02-27 15:20:01
1000G,795G,205G,80%,2025-02-27 16:20:01
1000G,795G,205G,80%,2025-02-27 17:20:01
1000G,795G,205G,80%,2025-02-27 18:20:02
1000G,795G,205G,80%,2025-02-27 19:20:01
1000G,797G,204G,80%,2025-02-28 02:20:01
1000G,797G,204G,80%,2025-02-28 03:20:02
1000G,797G,204G,80%,2025-02-28 04:20:03
1000G,797G,204G,80%,2025-02-28 05:20:04
1000G,797G,204G,80%,2025-02-28 06:20:02
1000G,797G,204G,80%,2025-02-28 07:20:01
1000G,797G,204G,80%,2025-02-28 08:20:02
1000G,797G,204G,80%,2025-02-28 09:20:04
1000G,797G,204G,80%,2025-02-28 10:20:03
1000G,797G,204G,80%,2025-02-28 11:20:03
1000G,797G,203G,80%,2025-02-28 12:20:03
1000G,797G,203G,80%,2025-02-28 13:20:02
1000G,797G,203G,80%,2025-02-28 14:20:02
1000G,797G,203G,80%,2025-02-28 15:20:03
1000G,797G,203G,80%,2025-02-28 16:20:03
1000G,797G,203G,80%,2025-02-28 17:20:03
1000G,797G,203G,80%,2025-02-28 18:20:03
1000G,798G,203G,80%,2025-02-28 19:20:03
1000G,792G,208G,80%,2025-03-03 02:20:01
1000G,793G,208G,80%,2025-03-03 03:20:02
1000G,793G,208G,80%,2025-03-03 04:20:03
1000G,793G,208G,80%,2025-03-03 05:20:03
1000G,793G,208G,80%,2025-03-03 06:20:02
1000G,793G,208G,80%,2025-03-03 07:20:01
1000G,793G,208G,80%,2025-03-03 08:20:01
1000G,793G,208G,80%,2025-03-03 09:20:01
1000G,793G,208G,80%,2025-03-03 10:20:04
1000G,793G,208G,80%,2025-03-03 11:20:04
1000G,793G,208G,80%,2025-03-03 12:20:01
1000G,793G,207G,80%,2025-03-03 13:20:01
1000G,793G,207G,80%,2025-03-03 14:20:01
1000G,793G,207G,80%,2025-03-03 15:20:01
1000G,793G,207G,80%,2025-03-03 16:20:01
1000G,793G,207G,80%,2025-03-03 17:20:01
1000G,793G,207G,80%,2025-03-03 18:20:03
1000G,793G,207G,80%,2025-03-03 19:20:02
1000G,795G,206G,80%,2025-03-04 02:20:03
1000G,795G,206G,80%,2025-03-04 03:20:03
1000G,795G,206G,80%,2025-03-04 04:20:03
1000G,795G,206G,80%,2025-03-04 05:20:03
1000G,795G,206G,80%,2025-03-04 06:20:04
1000G,795G,206G,80%,2025-03-04 07:20:04
1000G,795G,206G,80%,2025-03-04 08:20:01
1000G,794G,206G,80%,2025-03-04 09:20:01
1000G,794G,206G,80%,2025-03-04 10:20:01
1000G,794G,206G,80%,2025-03-04 11:20:02
1000G,794G,206G,80%,2025-03-04 12:20:02
1000G,794G,206G,80%,2025-03-04 13:20:02
1000G,795G,206G,80%,2025-03-04 14:20:02
1000G,795G,206G,80%,2025-03-04 15:20:03
1000G,795G,206G,80%,2025-03-04 16:20:02
1000G,795G,206G,80%,2025-03-04 17:20:02
1000G,795G,206G,80%,2025-03-04 18:20:02
1000G,795G,206G,80%,2025-03-04 19:20:01
1000G,796G,204G,80%,2025-03-05 02:20:02
1000G,796G,204G,80%,2025-03-05 03:20:01
1000G,796G,204G,80%,2025-03-05 04:20:01
1000G,796G,204G,80%,2025-03-05 05:20:01
1000G,796G,204G,80%,2025-03-05 06:20:01
1000G,796G,204G,80%,2025-03-05 07:20:02
1000G,796G,204G,80%,2025-03-05 08:20:01
1000G,797G,204G,80%,2025-03-05 09:20:01
