TABLESPACE_NAME,SIZE_GB,USED_GB,USED_PERCENT,COLLECTION_TIME,THRESHOLD
SYSAUX,8388604,4963790,59,04-02-2025 07:00,80
SYSTEM,12582906,2779816,22,04-02-2025 07:00,75
PERF_TBS,83886040,1739904,2,04-02-2025 07:00,80
UNDOTBS1,41943020,355360,1,04-02-2025 07:00,80
AUDIT_DATA,209715100,6400,0,04-02-2025 07:00,80
TEMP,125829060,7040,0,04-02-2025 07:00,80
TOOLS,88080342,8232,0,04-02-2025 07:00,80
USERS,4194302,2832,0,04-02-2025 07:00,80
WORK,12582906,384,0,04-02-2025 07:00,80
MONDB_H,16777208,2432,0,04-02-2025 07:00,80
XDB,12582906,384,0,04-02-2025 07:00,80
SYSAUX,8388604,5000582,60,21-02-2025 07:47,80
UNDOTBS1,41943020,10875928,26,21-02-2025 07:47,80
SYSTEM,12582906,2788016,22,21-02-2025 07:47,75
PERF_TBS,83886040,1748096,2,21-02-2025 07:47,80
MONDB_H,16777208,2432,0,21-02-2025 07:47,80
TEMP,125829060,6272,0,21-02-2025 07:47,80
TOOLS,88080342,8232,0,21-02-2025 07:47,80
AUDIT_DATA,209715100,6400,0,21-02-2025 07:47,80
USERS,4194302,2832,0,21-02-2025 07:47,80
WORK,12582906,384,0,21-02-2025 07:47,80
XDB,12582906,384,0,21-02-2025 07:47,80
SYSAUX,8388604,4978574,59,24-02-2025 02:20,80
SYSTEM,12582906,2788024,22,24-02-2025 02:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 02:20,80
UNDOTBS1,41943020,741912,2,24-02-2025 02:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 02:20,80
TEMP,125829060,768,0,24-02-2025 02:20,80
TOOLS,88080342,8232,0,24-02-2025 02:20,80
USERS,4194302,2832,0,24-02-2025 02:20,80
WORK,12582906,384,0,24-02-2025 02:20,80
MONDB_H,16777208,2432,0,24-02-2025 02:20,80
XDB,12582906,384,0,24-02-2025 02:20,80
SYSAUX,8388604,4978078,59,24-02-2025 03:20,80
SYSTEM,12582906,2788024,22,24-02-2025 03:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 03:20,80
UNDOTBS1,41943020,665344,2,24-02-2025 03:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 03:20,80
TEMP,125829060,896,0,24-02-2025 03:20,80
TOOLS,88080342,8232,0,24-02-2025 03:20,80
USERS,4194302,2832,0,24-02-2025 03:20,80
WORK,12582906,384,0,24-02-2025 03:20,80
MONDB_H,16777208,2432,0,24-02-2025 03:20,80
XDB,12582906,384,0,24-02-2025 03:20,80
SYSAUX,8388604,4978342,59,24-02-2025 04:20,80
SYSTEM,12582906,2788024,22,24-02-2025 04:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 04:20,80
UNDOTBS1,41943020,724992,2,24-02-2025 04:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 04:20,80
TEMP,125829060,1536,0,24-02-2025 04:20,80
TOOLS,88080342,8232,0,24-02-2025 04:20,80
USERS,4194302,2832,0,24-02-2025 04:20,80
WORK,12582906,384,0,24-02-2025 04:20,80
MONDB_H,16777208,2432,0,24-02-2025 04:20,80
XDB,12582906,384,0,24-02-2025 04:20,80
SYSAUX,8388604,4978478,59,24-02-2025 05:20,80
SYSTEM,12582906,2788024,22,24-02-2025 05:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 05:20,80
UNDOTBS1,41943020,659072,2,24-02-2025 05:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 05:20,80
TEMP,125829060,1664,0,24-02-2025 05:20,80
TOOLS,88080342,8232,0,24-02-2025 05:20,80
USERS,4194302,2832,0,24-02-2025 05:20,80
WORK,12582906,384,0,24-02-2025 05:20,80
MONDB_H,16777208,2432,0,24-02-2025 05:20,80
XDB,12582906,384,0,24-02-2025 05:20,80
SYSAUX,8388604,4979102,59,24-02-2025 06:20,80
SYSTEM,12582906,2788024,22,24-02-2025 06:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 06:20,80
UNDOTBS1,41943020,596240,1,24-02-2025 06:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 06:20,80
TEMP,125829060,1664,0,24-02-2025 06:20,80
TOOLS,88080342,8232,0,24-02-2025 06:20,80
USERS,4194302,2832,0,24-02-2025 06:20,80
WORK,12582906,384,0,24-02-2025 06:20,80
MONDB_H,16777208,2432,0,24-02-2025 06:20,80
XDB,12582906,384,0,24-02-2025 06:20,80
SYSAUX,8388604,4979726,59,24-02-2025 07:20,80
SYSTEM,12582906,2788024,22,24-02-2025 07:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 07:20,80
UNDOTBS1,41943020,751248,2,24-02-2025 07:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 07:20,80
TEMP,125829060,2816,0,24-02-2025 07:20,80
TOOLS,88080342,8232,0,24-02-2025 07:20,80
USERS,4194302,2832,0,24-02-2025 07:20,80
WORK,12582906,384,0,24-02-2025 07:20,80
MONDB_H,16777208,2432,0,24-02-2025 07:20,80
XDB,12582906,384,0,24-02-2025 07:20,80
SYSAUX,8388604,4980358,59,24-02-2025 08:20,80
SYSTEM,12582906,2788024,22,24-02-2025 08:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 08:20,80
UNDOTBS1,41943020,751504,2,24-02-2025 08:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 08:20,80
TEMP,125829060,3712,0,24-02-2025 08:20,80
TOOLS,88080342,8232,0,24-02-2025 08:20,80
USERS,4194302,2832,0,24-02-2025 08:20,80
WORK,12582906,384,0,24-02-2025 08:20,80
MONDB_H,16777208,2432,0,24-02-2025 08:20,80
XDB,12582906,384,0,24-02-2025 08:20,80
SYSAUX,8388604,4980942,59,24-02-2025 09:20,80
SYSTEM,12582906,2788024,22,24-02-2025 09:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 09:20,80
UNDOTBS1,41943020,696448,2,24-02-2025 09:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 09:20,80
TEMP,125829060,4096,0,24-02-2025 09:20,80
TOOLS,88080342,8232,0,24-02-2025 09:20,80
USERS,4194302,2832,0,24-02-2025 09:20,80
WORK,12582906,384,0,24-02-2025 09:20,80
MONDB_H,16777208,2432,0,24-02-2025 09:20,80
XDB,12582906,384,0,24-02-2025 09:20,80
SYSAUX,8388604,4975654,59,24-02-2025 10:20,80
SYSTEM,12582906,2788024,22,24-02-2025 10:20,75
PERF_TBS,83886040,1756288,2,24-02-2025 10:20,80
UNDOTBS1,41943020,626192,1,24-02-2025 10:20,80
AUDIT_DATA,209715100,6400,0,24-02-2025 10:20,80
TEMP,125829060,5248,0,24-02-2025 10:20,80
TOOLS,88080342,8232,0,24-02-2025 10:20,80
USERS,4194302,2832,0,24-02-2025 10:20,80
WORK,12582906,384,0,24-02-2025 10:20,80
MONDB_H,16777208,2432,0,24-02-2025 10:20,80
XDB,12582906,384,0,24-02-2025 10:20,80
